municipio,area_muni_km2,area_inundable_km2,pct_inundable
CARAMANTA,93.5011214247119,0.11450330409149423,0.1224619580458118
JARDIN,204.23350430412796,0.7269461729529789,0.3559387454227244
NARIÑO,321.8013538413023,1.2493383758662688,0.38823279049422066
ARGELIA,249.3512549706463,2.405258810614242,0.9646066593478303
VALPARAISO,128.15868962284054,0.6206480539223402,0.48428089874268493
ANDES,408.6683570679677,4.27503670460144,1.046089483236021
BETANIA,183.34300645094422,1.4771596504317812,0.8056809359821501
TAMESIS,256.2054676130472,5.553975214793349,2.1677816896482636
LA PINTADA,55.185407171742476,2.3607260961980234,4.277808604095661
HISPANIA,55.044587367834005,4.053498199868803,7.364026862044415
JERICO,208.2811302992521,2.5076511442695777,1.2039742345677975
PUEBLORRICO,76.64298878977554,0.18252734486934363,0.23815269700663533
SONSON,1368.6942073908288,10.678827124372583,0.7802200861746804
CIUDAD BOLIVAR,268.00244218875974,0.36699416163153437,0.13693687215471442
TARSO,122.43704375003932,1.7538623343297446,1.4324605369518173
ABEJORRAL,515.4658671957715,2.4831936127853096,0.48173773877489434
MONTEBELLO,77.30315571323233,0.6787709629761737,0.8780637177273546
SAN FRANCISCO,362.4065255013495,2.1470692309544024,0.5924477292411247
FREDONIA,262.35392442249383,9.138075269106126,3.4831098064270622
SANTA BARBARA,199.42067755031354,0.6235366576373942,0.31267402422703977
VENECIA,141.98045767456904,2.278762567214779,1.604983252299335
LA UNION,170.58962962923536,0.0,0.0
PUERTO TRIUNFO,376.36501647148657,19.983111373874266,5.309502876016689
LA CEJA,134.98696146287816,0.13433654780832163,0.09951816557132045
SALGAR,292.9916481857368,2.1150791989867224,0.7218906109043443
AMAGA,85.56570895999752,0.0,0.0
CALDAS,135.04074573878987,0.0,0.0
COCORNA,245.96317465755357,1.9139935180117822,0.7781626337668525
SAN LUIS,433.0771932777879,3.109452062274166,0.7179902591360141
TITIRIBI,142.73347121292264,0.5749914483812141,0.4028427554483493
CARMEN DE VIBORAL,430.93104372736195,0.6790692245948979,0.1575818763766126
RETIRO,242.3552003128647,1.335484852610651,0.5510444384468035
SABANETA,16.01221509300976,0.20239618591287714,1.2640111610868539
SANTUARIO,84.93217175203614,0.0,0.0
CONCORDIA,252.09057317080004,3.458770517871013,1.372034850159818
LA ESTRELLA,37.49006436518065,0.05609578195684851,0.14962839596762106
ANGELOPOLIS,83.29381372152098,0.0,0.0
ENVIGADO,85.30308175599538,0.7589257664311162,0.8896815341349334
ITAGUI,19.857101169157243,1.6887834539711375,8.504682730801695
GRANADA,193.61707478846955,0.5521403724248553,0.28517132232685544
RIONEGRO,199.41840656800554,2.2745473352591774,1.1405904672513332
ARMENIA,112.35626703615128,1.2069322272522975,1.074201074038852
MARINILLA,116.93066152976557,0.0,0.0
HELICONIA,116.87635794992954,0.0,0.0
BETULIA,266.9111101826249,1.4921397245409291,0.5590399453660745
PUERTO NARE,681.3813804851856,38.889627821147116,5.707468524228722
PEÑOL,120.46533896523094,25.793427812276395,21.41149315963903
GUATAPE,84.84976909724617,29.473743115243156,34.736385766074804
SAN CARLOS,730.8961742549008,5.555438961952132,0.7600859270628316
